iso3,country,region,region_id,income,income_id
ABW,Aruba,Latin America & Caribbean ,LCN,High income,HIC
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",MEA,Low income,LIC
AGO,Angola,Sub-Saharan Africa ,SSF,Lower middle income,LMC
ALB,Albania,Europe & Central Asia,ECS,Upper middle income,UMC
AND,Andorra,Europe & Central Asia,ECS,High income,HIC
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",MEA,High income,HIC
ARG,Argentina,Latin America & Caribbean ,LCN,Upper middle income,UMC
ARM,Armenia,Europe & Central Asia,ECS,Upper middle income,UMC
ASM,American Samoa,East Asia & Pacific,EAS,High income,HIC
ATG,Antigua and Barbuda,Latin America & Caribbean ,LCN,High income,HIC
AUS,Australia,East Asia & Pacific,EAS,High income,HIC
AUT,Austria,Europe & Central Asia,ECS,High income,HIC
AZE,Azerbaijan,Europe & Central Asia,ECS,Upper middle income,UMC
BDI,Burundi,Sub-Saharan Africa ,SSF,Low income,LIC
BEL,Belgium,Europe & Central Asia,ECS,High income,HIC
BEN,Benin,Sub-Saharan Africa ,SSF,Lower middle income,LMC
BFA,Burkina Faso,Sub-Saharan Africa ,SSF,Low income,LIC
BGD,Bangladesh,South Asia,SAS,Lower middle income,LMC
BGR,Bulgaria,Europe & Central Asia,ECS,High income,HIC
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",MEA,High income,HIC
BHS,"Bahamas, The",Latin America & Caribbean ,LCN,High income,HIC
BIH,Bosnia and Herzegovina,Europe & Central Asia,ECS,Upper middle income,UMC
BLR,Belarus,Europe & Central Asia,ECS,Upper middle income,UMC
BLZ,Belize,Latin America & Caribbean ,LCN,Upper middle income,UMC
BMU,Bermuda,North America,NAC,High income,HIC
BOL,Bolivia,Latin America & Caribbean ,LCN,Lower middle income,LMC
BRA,Brazil,Latin America & Caribbean ,LCN,Upper middle income,UMC
BRB,Barbados,Latin America & Caribbean ,LCN,High income,HIC
BRN,Brunei Darussalam,East Asia & Pacific,EAS,High income,HIC
BTN,Bhutan,South Asia,SAS,Lower middle income,LMC
BWA,Botswana,Sub-Saharan Africa ,SSF,Upper middle income,UMC
CAF,Central African Republic,Sub-Saharan Africa ,SSF,Low income,LIC
CAN,Canada,North America,NAC,High income,HIC
CHE,Switzerland,Europe & Central Asia,ECS,High income,HIC
CHI,Channel Islands,Europe & Central Asia,ECS,High income,HIC
CHL,Chile,Latin America & Caribbean ,LCN,High income,HIC
CHN,China,East Asia & Pacific,EAS,Upper middle income,UMC
CIV,Cote d'Ivoire,Sub-Saharan Africa ,SSF,Lower middle income,LMC
CMR,Cameroon,Sub-Saharan Africa ,SSF,Lower middle income,LMC
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,SSF,Low income,LIC
COG,"Congo, Rep.",Sub-Saharan Africa ,SSF,Lower middle income,LMC
COL,Colombia,Latin America & Caribbean ,LCN,Upper middle income,UMC
COM,Comoros,Sub-Saharan Africa ,SSF,Lower middle income,LMC
CPV,Cabo Verde,Sub-Saharan Africa ,SSF,Upper middle income,UMC
CRI,Costa Rica,Latin America & Caribbean ,LCN,High income,HIC
CUB,Cuba,Latin America & Caribbean ,LCN,Upper middle income,UMC
CUW,Curacao,Latin America & Caribbean ,LCN,High income,HIC
CYM,Cayman Islands,Latin America & Caribbean ,LCN,High income,HIC
CYP,Cyprus,Europe & Central Asia,ECS,High income,HIC
CZE,Czechia,Europe & Central Asia,ECS,High income,HIC
DEU,Germany,Europe & Central Asia,ECS,High income,HIC
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",MEA,Lower middle income,LMC
DMA,Dominica,Latin America & Caribbean ,LCN,Upper middle income,UMC
DNK,Denmark,Europe & Central Asia,ECS,High income,HIC
DOM,Dominican Republic,Latin America & Caribbean ,LCN,Upper middle income,UMC
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",MEA,Upper middle income,UMC
ECU,Ecuador,Latin America & Caribbean ,LCN,Upper middle income,UMC
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",MEA,Lower middle income,LMC
ERI,Eritrea,Sub-Saharan Africa ,SSF,Low income,LIC
